Cota;Afluencia;Defluencia;VazaoNatural;VazaoIncremental;VolumeUtil
735,38;0;82,84;16,01;0;82,84
735,43;0;83,52;20,71;0;83,52
735,5;0;84,48;27,44;0;84,48
735,56;0;85,31;27,77;0;85,31
735,65;0;86,54;37,27;0;86,54
735,73;0;87,64;25,48;0;87,64
735,78;0;88,33;29,21;0;88,33
735,84;0;89,16;28,28;0;89,16
735,88;0;89,71;40,38;0;89,71
735,95;0;90,68;16,59;0;90,68
735,95;0;90,68;17,92;0;90,68
735,98;0;91,09;13,81;0;91,09
735,95;0;90,68;12,71;0;90,68
735,94;0;90,54;10,87;0;90,54
735,93;0;90,4;8,52;0;90,4
735,9;0;89,98;9,12;0;89,98
735,89;0;89,85;9,64;0;89,85
735,87;0;89,57;8,78;0;89,57
735,87;0;89,57;8,7;0;89,57
735,85;0;89,3;8,52;0;89,3
735,82;0;88,88;8,48;0;88,88
735,81;0;88,74;7,48;0;88,74
735,79;0;88,47;8,32;0;88,47
735,77;0;88,19;8,34;0;88,19
735,76;0;88,05;8,86;0;88,05
735,73;0;87,64;9,2;0;87,64
735,73;0;87,64;10,26;0;87,64
735,72;0;87,5;13,18;0;87,5
735,72;0;87,5;15,72;0;87,5
735,76;0;88,05;15,37;0;88,05
735,78;0;88,33;16,69;0;88,33
735,78;0;88,33;16,73;0;88,33
735,79;0;88,47;14,43;0;88,47
735,79;0;88,47;13,27;0;88,47
735,79;0;88,47;12,76;0;88,47
735,78;0;88,33;10,5;0;88,33
735,76;0;88,05;9,42;0;88,05
735,73;0;87,64;7,58;0;87,64
735,71;0;87,37;7,54;0;87,37
735,68;0;86,95;6,87;0;86,95
735,67;0;86,82;9,29;0;86,82
735,64;0;86,4;12,17;0;86,4
735,65;0;86,54;15,15;0;86,54
735,68;0;86,95;19,03;0;86,95
735,7;0;87,23;21,88;0;87,23
735,76;0;88,05;23,38;0;88,05
735,78;0;88,33;19,68;0;88,33
735,94;0;90,54;61,78;0;90,54
736,05;0;92,06;45,78;0;92,06
736,12;0;93,03;34,88;0;93,03
736,17;0;93,73;26,01;0;93,73
736,17;0;93,73;23,88;0;93,73
736,16;0;93,59;21,37;0;93,59
736,22;0;94,42;17,03;0;94,42
736,23;0;94,56;15,65;0;94,56
736,19;0;94;14,66;0;94
736,19;0;94;10,54;0;94
736,18;0;93,86;9,05;0;93,86
736,17;0;93,73;9,89;0;93,73
736,18;0;93,86;12,34;0;93,86
736,18;0;93,86;15,1;0;93,86
736,2;0;94,14;17,23;0;94,14
736,22;0;94,42;16,87;0;94,42
736,25;0;94,84;15,7;0;94,84
736,25;0;94,84;13,94;0;94,84
736,22;0;94,42;14,71;0;94,42
736,22;0;94,42;13,03;0;94,42
736,25;0;94,84;12,26;0;94,84
736,25;0;94,84;12,88;0;94,84
736,24;0;94,7;14,25;0;94,7
736,23;0;94,56;12,28;0;94,56
736,24;0;94,7;11,46;0;94,7
736,24;0;94,7;11,73;0;94,7
736,23;0;94,56;15,05;0;94,56
736,22;0;94,42;15,34;0;94,42
736,26;0;94,97;18,32;0;94,97
736,28;0;95,25;18,45;0;95,25
736,36;0;96,37;36,44;0;96,37
736,32;0;95,81;13,04;0;95,81
736,28;0;95,25;20,4;0;95,25
736,25;0;94,84;16,6;0;94,84
736,25;0;94,84;15,4;0;94,84
736,24;0;94,7;14,97;0;94,7
736,22;0;94,42;13,3;0;94,42
736,22;0;94,42;16,5;0;94,42
736,22;0;94,42;19,43;0;94,42
736,32;0;95,81;21,63;0;95,81
